"","first_id","last_id","gender","rank","institution_id","city_id","region","sector","year"
"1",5001,3,"F","associate professor",1,1,"Puglia","Math",2000
"2",2749,23,"M","assistant professor",1,1,"Puglia","Math",2000
"3",6516,23,"M","professor",1,1,"Puglia","Math",2000
"4",8635,94,"M","associate professor",1,1,"Puglia","Math",2000
"5",3064,588,"M","professor",1,1,"Puglia","Math",2000
"6",6703,685,"F","associate professor",1,1,"Puglia","Math",2000
"7",7117,716,"M","associate professor",1,1,"Puglia","Math",2000
"8",3938,1232,"M","professor",1,1,"Puglia","Math",2000
"9",5403,2059,"F","assistant professor",1,1,"Puglia","Math",2000
"10",2946,2103,"F","associate professor",1,1,"Puglia","Math",2000
"11",6516,2219,"M","associate professor",1,1,"Puglia","Math",2000
"12",2897,3579,"M","assistant professor",1,1,"Puglia","Math",2000
"13",6223,3813,"M","professor",1,1,"Puglia","Math",2000
"14",5113,3947,"M","associate professor",1,1,"Puglia","Math",2000
"15",706,5379,"F","assistant professor",1,1,"Puglia","Math",2000
"16",4343,5379,"M","associate professor",1,1,"Puglia","Math",2000
"17",7782,5633,"M","associate professor",1,1,"Puglia","Math",2000
"18",1227,6219,"M","associate professor",1,1,"Puglia","Math",2000
"19",5907,7791,"M","professor",1,1,"Puglia","Math",2000
"20",434,8350,"M","associate professor",1,1,"Puglia","Math",2000
"21",5414,8517,"F","professor",1,1,"Puglia","Math",2000
"22",6285,8708,"M","associate professor",1,1,"Puglia","Math",2000
"23",5288,9697,"M","assistant professor",1,1,"Puglia","Math",2000
"24",2946,10378,"F","professor",1,1,"Puglia","Math",2000
"25",6566,9792,"F","assistant professor",1,1,"Puglia","Math",2000
"26",1358,9930,"M","associate professor",1,1,"Puglia","Math",2000
"27",1691,10652,"M","professor",1,1,"Puglia","Math",2000
"28",3766,10794,"M","professor",1,1,"Puglia","Math",2000
"29",5114,11082,"F","assistant professor",1,1,"Puglia","Math",2000
"30",6682,11120,"M","professor",1,1,"Puglia","Math",2000
"31",3766,10855,"M","associate professor",1,1,"Puglia","Math",2000
"32",4928,10935,"F","professor",1,1,"Puglia","Math",2000
"33",5054,11713,"M","assistant professor",1,1,"Puglia","Math",2000
"34",5414,11783,"F","associate professor",1,1,"Puglia","Math",2000
"35",706,11871,"F","professor",1,1,"Puglia","Math",2000
"36",519,11963,"F","associate professor",1,1,"Puglia","Math",2000
"37",2204,12802,"M","professor",1,1,"Puglia","Math",2000
"38",5054,13384,"M","professor",1,1,"Puglia","Math",2000
"39",622,13969,"F","assistant professor",1,1,"Puglia","Math",2000
"40",6840,14565,"M","assistant professor",1,1,"Puglia","Math",2000
"41",2545,15579,"M","professor",1,1,"Puglia","Math",2000
"42",2864,15618,"M","assistant professor",1,1,"Puglia","Math",2000
"43",5310,15904,"M","associate professor",1,1,"Puglia","Math",2000
"44",4525,16137,"M","assistant professor",1,1,"Puglia","Math",2000
"45",7520,16534,"M","assistant professor",1,1,"Puglia","Math",2000
"46",982,16190,"M","assistant professor",1,1,"Puglia","Math",2000
"47",852,16448,"F","assistant professor",1,1,"Puglia","Math",2000
"48",6395,16700,"F","associate professor",1,1,"Puglia","Math",2000
"49",2737,16742,"M","associate professor",1,1,"Puglia","Math",2000
"50",5403,16886,"F","associate professor",1,1,"Puglia","Math",2000
"51",1184,17072,"F","associate professor",1,1,"Puglia","Math",2000
"52",5054,17303,"M","professor",1,1,"Puglia","Math",2000
"53",8831,17433,"M","professor",1,1,"Puglia","Math",2000
"54",6285,17920,"M","professor",1,1,"Puglia","Math",2000
"55",1441,19087,"F","associate professor",1,1,"Puglia","Math",2000
"56",3027,19281,"F","associate professor",1,1,"Puglia","Math",2000
"57",6285,20023,"M","professor",1,1,"Puglia","Math",2000
"58",7654,20023,"F","assistant professor",1,1,"Puglia","Math",2000
"59",2433,20096,"F","associate professor",1,1,"Puglia","Math",2000
"60",3938,20805,"M","professor",1,1,"Puglia","Math",2000
"61",4848,21993,"F","assistant professor",1,1,"Puglia","Math",2000
"62",3881,22049,"F","professor",1,1,"Puglia","Math",2000
"63",3766,22150,"M","assistant professor",1,1,"Puglia","Math",2000
"64",706,22545,"F","professor",1,1,"Puglia","Math",2000
"65",6285,23097,"M","associate professor",1,1,"Puglia","Math",2000
"66",4930,23806,"M","assistant professor",1,1,"Puglia","Math",2000
"67",7323,23806,"M","associate professor",1,1,"Puglia","Math",2000
"68",7924,23945,"M","assistant professor",1,1,"Puglia","Math",2000
"69",8711,23957,"M","professor",1,1,"Puglia","Math",2000
"70",5912,24636,"M","professor",1,1,"Puglia","Math",2000
"71",4090,24938,"F","associate professor",1,1,"Puglia","Math",2000
"72",1803,25371,"M","assistant professor",1,1,"Puglia","Math",2000
"73",8054,25862,"F","associate professor",1,1,"Puglia","Math",2000
"74",8323,25984,"F","assistant professor",1,1,"Puglia","Math",2000
"75",36,26517,"F","associate professor",1,1,"Puglia","Math",2000
"76",3766,27760,"M","associate professor",1,1,"Puglia","Math",2000
"77",4363,28239,"F","associate professor",1,1,"Puglia","Math",2000
"78",145,29063,"M","professor",1,1,"Puglia","Math",2000
"79",2918,29358,"M","associate professor",1,1,"Puglia","Math",2000
"80",2918,29915,"M","assistant professor",1,1,"Puglia","Math",2000
"81",5414,30504,"F","associate professor",1,1,"Puglia","Math",2000
"82",2645,30749,"F","professor",1,1,"Puglia","Math",2000
"83",3027,31337,"F","assistant professor",1,1,"Puglia","Math",2000
"84",3064,170,"M","associate professor",1,1,"Puglia","Phys",2000
"85",4773,848,"M","assistant professor",1,1,"Puglia","Phys",2000
"86",6520,1219,"M","professor",1,1,"Puglia","Phys",2000
"87",8635,1399,"M","associate professor",1,1,"Puglia","Phys",2000
"88",5113,1722,"M","associate professor",1,1,"Puglia","Phys",2000
"89",7520,2576,"M","associate professor",1,1,"Puglia","Phys",2000
"90",8635,2734,"M","assistant professor",1,1,"Puglia","Phys",2000
"91",7084,3043,"M","professor",1,1,"Puglia","Phys",2000
"92",3902,4220,"M","professor",1,1,"Puglia","Phys",2000
"93",4271,6397,"F","professor",1,1,"Puglia","Phys",2000
"94",6840,6622,"M","associate professor",1,1,"Puglia","Phys",2000
"95",8296,7722,"M","associate professor",1,1,"Puglia","Phys",2000
"96",6516,8852,"M","assistant professor",1,1,"Puglia","Phys",2000
"97",3634,10342,"F","associate professor",1,1,"Puglia","Phys",2000
"98",6163,8998,"M","assistant professor",1,1,"Puglia","Phys",2000
"99",7323,9819,"M","professor",1,1,"Puglia","Phys",2000
"100",1414,10153,"M","professor",1,1,"Puglia","Phys",2000
"101",6192,10283,"M","associate professor",1,1,"Puglia","Phys",2000
"102",2144,10574,"M","assistant professor",1,1,"Puglia","Phys",2000
"103",6240,10724,"F","assistant professor",1,1,"Puglia","Phys",2000
"104",6679,11569,"M","professor",1,1,"Puglia","Phys",2000
"105",1583,11611,"F","assistant professor",1,1,"Puglia","Phys",2000
"106",6285,12253,"M","professor",1,1,"Puglia","Phys",2000
"107",2543,12512,"F","assistant professor",1,1,"Puglia","Phys",2000
"108",3533,12638,"M","professor",1,1,"Puglia","Phys",2000
"109",7094,13251,"M","assistant professor",1,1,"Puglia","Phys",2000
"110",1082,13710,"M","associate professor",1,1,"Puglia","Phys",2000
"111",6163,13763,"M","associate professor",1,1,"Puglia","Phys",2000
"112",1278,14049,"M","professor",1,1,"Puglia","Phys",2000
"113",3938,14772,"M","assistant professor",1,1,"Puglia","Phys",2000
"114",8323,16992,"F","assistant professor",1,1,"Puglia","Phys",2000
"115",7240,17526,"M","associate professor",1,1,"Puglia","Phys",2000
"116",3938,17840,"M","associate professor",1,1,"Puglia","Phys",2000
"117",1158,18405,"M","professor",1,1,"Puglia","Phys",2000
"118",7139,19004,"M","associate professor",1,1,"Puglia","Phys",2000
"119",916,19959,"M","professor",1,1,"Puglia","Phys",2000
"120",8333,20747,"F","professor",1,1,"Puglia","Phys",2000
"121",3938,21042,"M","professor",1,1,"Puglia","Phys",2000
"122",7969,21083,"M","professor",1,1,"Puglia","Phys",2000
"123",3153,21101,"M","associate professor",1,1,"Puglia","Phys",2000
"124",5113,21308,"M","professor",1,1,"Puglia","Phys",2000
"125",7820,21483,"M","professor",1,1,"Puglia","Phys",2000
"126",3902,21935,"M","associate professor",1,1,"Puglia","Phys",2000
"127",800,21963,"M","associate professor",1,1,"Puglia","Phys",2000
"128",7905,22424,"M","assistant professor",1,1,"Puglia","Phys",2000
"129",5907,22841,"M","associate professor",1,1,"Puglia","Phys",2000
"130",8734,23420,"M","professor",1,1,"Puglia","Phys",2000
"131",7520,23451,"M","associate professor",1,1,"Puglia","Phys",2000
"132",898,24960,"M","associate professor",1,1,"Puglia","Phys",2000
"133",7782,26404,"M","associate professor",1,1,"Puglia","Phys",2000
"134",3255,27101,"M","associate professor",1,1,"Puglia","Phys",2000
"135",5113,27346,"M","assistant professor",1,1,"Puglia","Phys",2000
"136",2296,27619,"M","assistant professor",1,1,"Puglia","Phys",2000
"137",3153,27735,"M","professor",1,1,"Puglia","Phys",2000
"138",3738,27746,"F","associate professor",1,1,"Puglia","Phys",2000
