"","first_id","last_id","gender","rank","institution_id","city_id","region","sector","year"
"1",8697,3,"M","professor",1,1,"Puglia","Math",2010
"2",519,287,"F","assistant professor",1,1,"Puglia","Math",2010
"3",7721,2167,"F","assistant professor",1,1,"Puglia","Math",2010
"4",2618,5628,"M","assistant professor",1,1,"Puglia","Math",2010
"5",145,5646,"M","professor",1,1,"Puglia","Math",2010
"6",3738,6790,"F","professor",1,1,"Puglia","Math",2010
"7",8054,7537,"F","associate professor",1,1,"Puglia","Math",2010
"8",7197,9435,"M","assistant professor",1,1,"Puglia","Math",2010
"9",1358,14970,"M","professor",1,1,"Puglia","Math",2010
"10",2144,16185,"M","assistant professor",1,1,"Puglia","Math",2010
"11",1135,16502,"F","associate professor",1,1,"Puglia","Math",2010
"12",3064,17743,"M","assistant professor",1,1,"Puglia","Math",2010
"13",878,18962,"M","professor",1,1,"Puglia","Math",2010
"14",2074,21955,"M","associate professor",1,1,"Puglia","Math",2010
"15",3938,23378,"M","associate professor",1,1,"Puglia","Math",2010
"16",8383,24082,"M","associate professor",1,1,"Puglia","Math",2010
"17",281,24152,"M","assistant professor",1,1,"Puglia","Math",2010
"18",7982,28371,"M","professor",1,1,"Puglia","Math",2010
"19",4039,30950,"F","assistant professor",1,1,"Puglia","Math",2010
"20",5414,31701,"F","assistant professor",1,1,"Puglia","Math",2010
"21",8635,2734,"M","associate professor",1,1,"Puglia","Phys",2010
"22",6070,4162,"M","associate professor",1,1,"Puglia","Phys",2010
"23",5568,5065,"F","associate professor",1,1,"Puglia","Phys",2010
"24",5827,7078,"F","associate professor",1,1,"Puglia","Phys",2010
"25",2208,8631,"M","associate professor",1,1,"Puglia","Phys",2010
"26",6516,9645,"M","assistant professor",1,1,"Puglia","Phys",2010
"27",1527,12090,"F","associate professor",1,1,"Puglia","Phys",2010
"28",6516,14357,"M","associate professor",1,1,"Puglia","Phys",2010
"29",3938,15612,"M","professor",1,1,"Puglia","Phys",2010
"30",3714,17824,"M","professor",1,1,"Puglia","Phys",2010
"31",7782,20964,"M","assistant professor",1,1,"Puglia","Phys",2010
"32",3241,24632,"F","assistant professor",1,1,"Puglia","Phys",2010
"33",3064,25870,"M","professor",1,1,"Puglia","Phys",2010
"34",8655,28543,"M","assistant professor",1,1,"Puglia","Phys",2010
"35",7520,6707,"M","professor",1,1,"Puglia","Chem",2010
"36",5708,9916,"F","assistant professor",1,1,"Puglia","Chem",2010
"37",3766,12269,"M","associate professor",1,1,"Puglia","Chem",2010
"38",8697,13467,"M","assistant professor",1,1,"Puglia","Chem",2010
"39",5907,16578,"M","associate professor",1,1,"Puglia","Chem",2010
"40",7197,19084,"M","professor",1,1,"Puglia","Chem",2010
"41",3938,25861,"M","assistant professor",1,1,"Puglia","Chem",2010
"42",3584,29123,"M","associate professor",1,1,"Puglia","Chem",2010
"43",3962,5109,"M","assistant professor",1,1,"Puglia","Geo",2010
"44",1700,7025,"M","professor",1,1,"Puglia","Geo",2010
"45",5532,12379,"F","associate professor",1,1,"Puglia","Geo",2010
"46",1758,14332,"F","professor",1,1,"Puglia","Geo",2010
"47",5113,20428,"M","associate professor",1,1,"Puglia","Geo",2010
"48",250,25299,"M","assistant professor",1,1,"Puglia","Geo",2010
"49",8635,28123,"M","professor",1,1,"Puglia","Geo",2010
"50",6285,28696,"M","assistant professor",1,1,"Puglia","Geo",2010
"51",7565,29774,"M","assistant professor",1,1,"Puglia","Geo",2010
"52",6520,31207,"M","assistant professor",1,1,"Puglia","Geo",2010
"53",560,727,"M","associate professor",1,1,"Puglia","Eng-Civ",2010
"54",8695,731,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"55",8694,1116,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"56",519,1928,"F","professor",1,1,"Puglia","Eng-Civ",2010
"57",6285,2398,"M","associate professor",1,1,"Puglia","Eng-Civ",2010
"58",7406,2611,"M","associate professor",1,1,"Puglia","Eng-Civ",2010
"59",5907,3214,"M","associate professor",1,1,"Puglia","Eng-Civ",2010
"60",8483,3796,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"61",2110,3903,"M","professor",1,1,"Puglia","Eng-Civ",2010
"62",3064,4874,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"63",3027,4968,"F","assistant professor",1,1,"Puglia","Eng-Civ",2010
"64",811,5036,"F","associate professor",1,1,"Puglia","Eng-Civ",2010
"65",2144,5178,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"66",6192,5710,"M","professor",1,1,"Puglia","Eng-Civ",2010
"67",4280,5741,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"68",7713,6141,"F","assistant professor",1,1,"Puglia","Eng-Civ",2010
"69",878,6370,"M","professor",1,1,"Puglia","Eng-Civ",2010
"70",2653,6603,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"71",3452,7047,"M","associate professor",1,1,"Puglia","Eng-Civ",2010
"72",6929,7993,"M","professor",1,1,"Puglia","Eng-Civ",2010
"73",3584,8173,"M","associate professor",1,1,"Puglia","Eng-Civ",2010
"74",2477,8192,"F","assistant professor",1,1,"Puglia","Eng-Civ",2010
"75",2136,8527,"F","assistant professor",1,1,"Puglia","Eng-Civ",2010
"76",2831,8540,"F","associate professor",1,1,"Puglia","Eng-Civ",2010
"77",6163,9242,"M","associate professor",1,1,"Puglia","Eng-Civ",2010
"78",1691,9244,"M","professor",1,1,"Puglia","Eng-Civ",2010
"79",7206,9249,"M","associate professor",1,1,"Puglia","Eng-Civ",2010
"80",4773,9257,"M","professor",1,1,"Puglia","Eng-Civ",2010
"81",7721,9533,"F","assistant professor",1,1,"Puglia","Eng-Civ",2010
"82",3127,10166,"M","professor",1,1,"Puglia","Eng-Civ",2010
"83",8664,10427,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"84",2144,10473,"M","professor",1,1,"Puglia","Eng-Civ",2010
"85",3414,10473,"M","professor",1,1,"Puglia","Eng-Civ",2010
"86",3064,9644,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"87",6192,9989,"M","associate professor",1,1,"Puglia","Eng-Civ",2010
"88",4170,9997,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"89",5288,10847,"M","professor",1,1,"Puglia","Eng-Civ",2010
"90",693,11009,"F","assistant professor",1,1,"Puglia","Eng-Civ",2010
"91",960,11027,"M","professor",1,1,"Puglia","Eng-Civ",2010
"92",5866,10553,"F","assistant professor",1,1,"Puglia","Eng-Civ",2010
"93",8635,10952,"M","associate professor",1,1,"Puglia","Eng-Civ",2010
"94",3938,11809,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"95",2749,12030,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"96",945,12113,"M","professor",1,1,"Puglia","Eng-Civ",2010
"97",4913,12361,"F","associate professor",1,1,"Puglia","Eng-Civ",2010
"98",1791,12379,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"99",2215,12829,"F","associate professor",1,1,"Puglia","Eng-Civ",2010
"100",7255,12829,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"101",8483,12989,"M","associate professor",1,1,"Puglia","Eng-Civ",2010
"102",8635,14295,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"103",6685,14657,"M","professor",1,1,"Puglia","Eng-Civ",2010
"104",7474,14970,"F","assistant professor",1,1,"Puglia","Eng-Civ",2010
"105",8697,15511,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"106",3064,15591,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"107",6117,15662,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"108",5113,16500,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"109",1920,16588,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"110",8635,16798,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"111",7323,17092,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"112",6395,17095,"F","assistant professor",1,1,"Puglia","Eng-Civ",2010
"113",3064,18156,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"114",3957,18416,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"115",6516,18806,"M","associate professor",1,1,"Puglia","Eng-Civ",2010
"116",3392,18810,"M","assistant professor",1,1,"Puglia","Eng-Civ",2010
"117",7782,18869,"M","professor",1,1,"Puglia","Eng-Civ",2010
"118",7138,18967,"M","associate professor",1,1,"Puglia","Eng-Civ",2010
"119",6285,19084,"M","professor",1,1,"Puglia","Eng-Civ",2010
"120",633,19559,"F","associate professor",1,1,"Puglia","Eng-Civ",2010
"121",6192,19752,"M","professor",1,1,"Puglia","Eng-Civ",2010
"122",5834,20023,"F","assistant professor",1,1,"Puglia","Eng-Civ",2010
"123",1358,20169,"M","associate professor",1,1,"Puglia","Eng-Civ",2010
